,2022,2023,2024
0,ADPT UW Equity,NEM UN Equity,NEM UN Equity
1,COMM UW Equity,MCO UN Equity,MCO UN Equity
2,NEM UN Equity,MET UN Equity,MET UN Equity
3,MCO UN Equity,WPC UN Equity,WPC UN Equity
4,MET UN Equity,BJ UN Equity,BJ UN Equity
5,WPC UN Equity,2297249D UW Equity,MTB UN Equity
6,2297249D UW Equity,MTB UN Equity,PLD UN Equity
7,MTB UN Equity,PLD UN Equity,ROP UW Equity
8,PLD UN Equity,SCHW UN Equity,SCHW UN Equity
9,SCHW UN Equity,NTRS UW Equity,LSXMK UW Equity
10,NTRS UW Equity,TMO UN Equity,NTRS UW Equity
11,TMO UN Equity,L UN Equity,TMO UN Equity
12,L UN Equity,CTLT UN Equity,L UN Equity
13,CTLT UN Equity,IPGP UW Equity,CTLT UN Equity
14,IPGP UW Equity,MTN UN Equity,IPGP UW Equity
15,MTN UN Equity,LSI UN Equity,MTN UN Equity
16,LSI UN Equity,QRVO UW Equity,CELH UR Equity
17,QRVO UW Equity,NVCR UW Equity,QRVO UW Equity
18,NVCR UW Equity,O UN Equity,NVCR UW Equity
19,O UN Equity,PARAA UW Equity,O UN Equity
20,PARAA UW Equity,LBRDK UW Equity,PARAA UW Equity
21,LBRDK UW Equity,HAL UN Equity,LBRDK UW Equity
22,HAL UN Equity,KIM UN Equity,HAL UN Equity
23,KIM UN Equity,BEN UN Equity,KIM UN Equity
24,BEN UN Equity,WYNN UW Equity,BEN UN Equity
25,WYNN UW Equity,GWRE UN Equity,WYNN UW Equity
26,GWRE UN Equity,FIVE UW Equity,GWRE UN Equity
27,FIVE UW Equity,VIRT UW Equity,FIVE UW Equity
28,VIRT UW Equity,HTZ UW Equity,VIRT UW Equity
29,1950546D US Equity,ZTS UN Equity,HTZ UW Equity
30,ZTS UN Equity,EOG UN Equity,ZTS UN Equity
31,EOG UN Equity,KMX UN Equity,EOG UN Equity
32,KMX UN Equity,BLDR UN Equity,KMX UN Equity
33,BLDR UN Equity,PEN UN Equity,BLDR UN Equity
34,PEN UN Equity,PDCE UW Equity,PEN UN Equity
35,9980328D UN Equity,9980328D UN Equity,9980328D UN Equity
36,JKHY UW Equity,JKHY UW Equity,EXPD UN Equity
37,PCTY UW Equity,PCTY UW Equity,JKHY UW Equity
38,IAC UW Equity,IAC UW Equity,PCTY UW Equity
39,SKX UN Equity,SKX UN Equity,IAC UW Equity
40,NATI UW Equity,NATI UW Equity,SKX UN Equity
41,XLNX UW Equity,ATO UN Equity,ATO UN Equity
42,ATO UN Equity,TWLO UN Equity,TWLO UN Equity
43,TWLO UN Equity,VTR UN Equity,VTR UN Equity
44,VTR UN Equity,DEI UN Equity,FOX UW Equity
45,DEI UN Equity,FOX UW Equity,MHK UN Equity
46,FOX UW Equity,MHK UN Equity,RBC UN Equity
47,MHK UN Equity,AGL UN Equity,AGL UN Equity
48,AGL UN Equity,MSFT UW Equity,MSFT UW Equity
49,MSFT UW Equity,CRM UN Equity,CRM UN Equity
50,CRM UN Equity,KDP UW Equity,KDP UW Equity
51,KDP UW Equity,TFC UN Equity,TFC UN Equity
52,TFC UN Equity,UPS UN Equity,UPS UN Equity
53,STL UN Equity,WMT UN Equity,WMT UN Equity
54,UPS UN Equity,FND UN Equity,FND UN Equity
55,WMT UN Equity,HUBB UN Equity,HUBB UN Equity
56,FND UN Equity,VRSK UW Equity,VRSK UW Equity
57,HUBB UN Equity,VST UN Equity,VST UN Equity
58,VRSK UW Equity,WMS UN Equity,WMS UN Equity
59,VST UN Equity,KMB UN Equity,KMB UN Equity
60,WMS UN Equity,AFRM UW Equity,AFRM UW Equity
61,KMB UN Equity,WLK UN Equity,WLK UN Equity
62,TWTR UN Equity,CHTR UW Equity,CHTR UW Equity
63,NUAN UW Equity,WST UN Equity,WST UN Equity
64,WLK UN Equity,CG UW Equity,CG UW Equity
65,CHTR UW Equity,HLT UN Equity,HLT UN Equity
66,WST UN Equity,H UN Equity,H UN Equity
67,CG UW Equity,MRVI UW Equity,MRVI UW Equity
68,HLT UN Equity,TJX UN Equity,TJX UN Equity
69,H UN Equity,RPM UN Equity,RPM UN Equity
70,MRVI UW Equity,JNPR UN Equity,JNPR UN Equity
71,TJX UN Equity,DCI UN Equity,DCI UN Equity
72,RPM UN Equity,AMED UW Equity,AMED UW Equity
73,JNPR UN Equity,TREX UN Equity,TREX UN Equity
74,DCI UN Equity,ABT UN Equity,ABT UN Equity
75,EVRG UN Equity,GRMN UN Equity,GRMN UN Equity
76,AMED UW Equity,DOX UW Equity,DOX UW Equity
77,TREX UN Equity,NNN UN Equity,NNN UN Equity
78,ABT UN Equity,BSY UW Equity,BSY UW Equity
79,GRMN UN Equity,ADBE UW Equity,ADBE UW Equity
80,DOX UW Equity,BALL UN Equity,BALL UN Equity
81,NNN UN Equity,NVST UN Equity,NVST UN Equity
82,BSY UW Equity,PNFP UW Equity,PNFP UW Equity
83,ADBE UW Equity,HIW UN Equity,HIW UN Equity
84,BALL UN Equity,POOL UW Equity,POOL UW Equity
85,NVST UN Equity,MDB UQ Equity,MDB UQ Equity
86,PNFP UW Equity,CACI UN Equity,CACI UN Equity
87,HIW UN Equity,ON UW Equity,ON UW Equity
88,POOL UW Equity,COP UN Equity,COP UN Equity
89,MDB UQ Equity,EPAM UN Equity,EPAM UN Equity
90,CACI UN Equity,NEWR UN Equity,PEP UW Equity
91,ON UW Equity,CHD UN Equity,CHD UN Equity
92,COP UN Equity,PEP UW Equity,FWONK UW Equity
93,EPAM UN Equity,RITM UN Equity,RITM UN Equity
94,NEWR UN Equity,S UN Equity,S UN Equity
95,CHD UN Equity,DOCU UW Equity,DOCU UW Equity
96,PEP UW Equity,AR UN Equity,AR UN Equity
97,RITM UN Equity,CRWD UW Equity,CRWD UW Equity
98,DOCU UW Equity,AEP UW Equity,AEP UW Equity
99,CRWD UW Equity,KSS UN Equity,KSS UN Equity
100,AEP UW Equity,AFG UN Equity,AFG UN Equity
101,KSS UN Equity,CAR UW Equity,CAR UW Equity
102,AFG UN Equity,OSK UN Equity,OSK UN Equity
103,OSK UN Equity,NWS UW Equity,NWS UW Equity
