,ULTA UW Equity,EXPE UW Equity,WEX UN Equity,RPRX UW Equity,CHRW UW Equity
2021-07-19,323.67,151.64,183.58,39.84,93.13
2021-07-20,334.5,156.12,191.29,41.23,93.11
2021-07-21,341.65,162.42,196.42,41.31,93.14
2021-07-22,340.32,160.03,196.83,40.36,91.77
2021-07-23,341.58,161.55,200.87,40.33,92.88
2021-07-26,344.27,162.7,200.91,39.7,92.5
2021-07-27,337.52,163.72,202.69,39.2,91.32
2021-07-28,333.97,163.19,202.85,38.53,88.51
2021-07-29,334.61,163.73,194.61,38.25,89.23
2021-07-30,335.8,160.87,189.73,38.2,89.17
2021-08-02,336.76,159.19,184.38,37.21,89.65
2021-08-03,346.66,154.78,182.27,37.68,91.41
2021-08-04,342.57,153.25,178.3,36.74,90.36
2021-08-05,351.65,161.69,179.3,37.25,89.74
2021-08-06,352.99,148.89,178.26,36.99,91.0
2021-08-09,352.65,148.8,176.36,36.78,89.61
2021-08-10,361.74,148.6,175.96,36.43,89.4
2021-08-11,366.83,150.07,174.54,36.69,90.82
2021-08-12,371.91,150.33,175.01,37.4,91.23
2021-08-13,371.85,148.63,175.28,38.73,91.9
2021-08-16,369.67,144.14,175.31,38.25,92.32
2021-08-17,360.74,142.57,172.95,39.09,91.46
2021-08-18,361.72,140.35,170.81,38.72,88.77
2021-08-19,360.86,138.05,169.68,38.88,87.77
2021-08-20,366.77,137.79,174.65,39.0,88.69
2021-08-23,370.0,142.84,178.05,38.65,89.53
2021-08-24,373.85,146.63,179.61,39.07,89.56
2021-08-25,389.9,147.62,182.54,39.08,90.31
2021-08-26,388.68,143.86,180.0,38.9,89.99
2021-08-27,387.23,146.74,184.18,39.19,90.74
2021-08-30,383.17,144.19,182.98,39.0,90.76
2021-08-31,387.31,144.5,183.57,38.65,90.06
2021-09-01,387.46,146.17,182.73,38.9,89.16
2021-09-02,381.21,143.77,178.1,39.31,90.76
2021-09-03,382.11,142.64,175.74,39.31,90.09
2021-09-06,382.11,142.64,175.74,39.31,90.09
2021-09-07,379.33,147.49,172.75,38.98,88.49
2021-09-08,376.3,145.67,175.84,38.71,89.11
2021-09-09,382.08,146.74,173.78,38.29,87.28
2021-09-10,374.82,145.39,170.82,38.48,88.4
2021-09-13,372.29,148.79,175.22,38.51,89.13
2021-09-14,373.73,150.6,171.13,39.67,90.08
2021-09-15,375.93,151.32,171.57,37.97,90.67
2021-09-16,382.32,150.17,171.03,38.38,90.27
2021-09-17,379.05,152.28,168.88,38.5,87.44
2021-09-20,369.74,153.59,165.97,36.83,86.82
2021-09-21,369.84,152.95,164.23,36.63,87.45
2021-09-22,375.85,158.95,167.84,36.29,87.51
2021-09-23,380.76,166.84,173.0,37.13,88.46
2021-09-24,382.13,171.99,171.26,37.1,88.51
2021-09-27,381.13,169.65,179.76,37.15,89.71
2021-09-28,378.14,168.78,179.44,36.62,88.7
2021-09-29,378.35,166.27,175.13,36.68,88.44
2021-09-30,360.92,163.9,176.14,36.14,87.0
2021-10-01,368.03,169.79,182.29,36.23,86.35
2021-10-04,369.92,170.79,180.9,35.17,86.46
2021-10-05,373.77,169.1,180.54,35.32,87.36
2021-10-06,368.21,170.21,178.52,35.64,88.72
2021-10-07,375.03,172.3,182.24,35.51,89.64
2021-10-08,378.37,169.98,180.71,35.49,90.66
2021-10-11,380.87,168.51,176.15,36.13,91.26
2021-10-12,386.92,169.55,178.18,36.07,90.85
2021-10-13,395.31,168.51,184.68,35.83,91.49
2021-10-14,403.91,168.89,190.41,37.06,93.94
2021-10-15,405.72,171.99,192.92,38.39,94.63
2021-10-18,406.35,169.92,190.94,37.02,97.03
2021-10-19,363.35,166.2,194.4,37.7,97.56
2021-10-20,358.15,163.73,192.65,37.39,98.35
2021-10-21,371.88,162.75,193.37,37.5,98.8
2021-10-22,371.45,161.67,194.72,37.5,99.7
2021-10-25,371.0,161.44,196.26,37.67,98.19
2021-10-26,366.06,162.75,192.37,37.74,98.51
2021-10-27,369.79,164.14,184.17,36.81,97.64
2021-10-28,370.39,164.26,160.84,38.2,98.14
2021-10-29,367.36,164.41,149.7,39.53,96.99
2021-11-01,365.13,167.23,153.69,39.73,96.0
2021-11-02,371.86,159.84,143.83,38.11,94.57
2021-11-03,381.78,162.25,149.08,39.5,94.48
2021-11-04,381.07,157.55,152.02,39.57,96.05
2021-11-05,391.85,182.17,155.95,39.52,93.82
2021-11-08,388.11,188.43,156.39,39.85,94.46
2021-11-09,395.11,188.0,151.9,39.6,94.18
2021-11-10,391.34,185.67,151.13,41.58,92.86
2021-11-11,395.57,182.58,150.01,40.19,92.85
2021-11-12,396.5,178.91,150.45,41.92,94.49
2021-11-15,401.73,177.61,149.46,41.7,95.62
2021-11-16,413.86,175.49,145.4,41.99,96.49
2021-11-17,402.21,177.59,141.13,42.48,94.45
2021-11-18,405.65,176.58,138.12,41.98,93.91
2021-11-19,407.71,175.16,136.14,41.56,96.27
2021-11-22,411.77,173.24,133.32,41.88,96.78
2021-11-23,408.93,177.97,134.25,41.85,97.77
2021-11-24,409.56,176.54,137.11,42.08,98.26
2021-11-25,409.56,176.54,137.11,42.08,98.26
2021-11-26,399.53,159.8,131.93,41.89,96.28
2021-11-29,401.42,166.5,130.46,41.34,95.62
2021-11-30,383.95,161.09,126.42,39.77,95.09
2021-12-01,370.02,155.66,123.68,38.77,93.87
2021-12-02,383.64,161.28,129.18,38.88,94.22
