,ULTA UW Equity,EXPE UW Equity,WEX UN Equity,RPRX UW Equity,CHRW UW Equity
2021-07-19,260262.0,1154566.0,109658.0,605060.0,521421.0
2021-07-20,188745.0,773642.0,113234.0,705093.0,470705.0
2021-07-21,206051.0,765952.0,75139.0,482883.0,329893.0
2021-07-22,110714.0,427708.0,54663.0,328625.0,382077.0
2021-07-23,177542.0,543091.0,54148.0,376153.0,319354.0
2021-07-26,165748.0,567751.0,59454.0,477275.0,380666.0
2021-07-27,204726.0,664581.0,66709.0,548702.0,534013.0
2021-07-28,179378.0,349115.0,77780.0,715055.0,958145.0
2021-07-29,218146.0,375578.0,127683.0,772070.0,494149.0
2021-07-30,227015.0,530882.0,116916.0,572967.0,743299.0
2021-08-02,188642.0,552038.0,96117.0,1320079.0,413593.0
2021-08-03,209096.0,729170.0,104412.0,600683.0,480520.0
2021-08-04,183243.0,499895.0,69836.0,678643.0,349494.0
2021-08-05,160707.0,1315398.0,99015.0,646287.0,402006.0
2021-08-06,128680.0,3249651.0,145202.0,415640.0,466659.0
2021-08-09,150313.0,1288585.0,94668.0,495550.0,230829.0
2021-08-10,182149.0,709421.0,143470.0,457440.0,306705.0
2021-08-11,165488.0,610549.0,121228.0,1177828.0,295106.0
2021-08-12,173640.0,528170.0,72028.0,639835.0,292073.0
2021-08-13,200930.0,595885.0,41709.0,668140.0,296999.0
2021-08-16,169605.0,712864.0,40668.0,552486.0,355755.0
2021-08-17,180515.0,599280.0,69409.0,777653.0,300214.0
2021-08-18,170194.0,518819.0,88758.0,342862.0,480793.0
2021-08-19,235991.0,690829.0,77725.0,532384.0,388607.0
2021-08-20,165754.0,645111.0,75540.0,679221.0,306042.0
2021-08-23,198376.0,656191.0,71637.0,527859.0,341022.0
2021-08-24,231391.0,885078.0,64344.0,471548.0,287870.0
2021-08-25,535681.0,631586.0,49898.0,386347.0,394168.0
2021-08-26,690085.0,563705.0,90971.0,760484.0,239271.0
2021-08-27,383061.0,492250.0,104268.0,442838.0,336063.0
2021-08-30,314597.0,489697.0,59010.0,433164.0,290071.0
2021-08-31,354935.0,1025585.0,89208.0,570326.0,876081.0
2021-09-01,286269.0,635977.0,63551.0,396135.0,814675.0
2021-09-02,266627.0,662150.0,99135.0,489243.0,514786.0
2021-09-03,146233.0,456343.0,89609.0,498761.0,343771.0
2021-09-06,146233.0,456343.0,89609.0,498761.0,343771.0
2021-09-07,182632.0,675816.0,76528.0,783287.0,350957.0
2021-09-08,260892.0,774027.0,86464.0,643761.0,433317.0
2021-09-09,208459.0,750323.0,64650.0,960465.0,523344.0
2021-09-10,208234.0,497505.0,79634.0,491678.0,494141.0
2021-09-13,216834.0,786229.0,64583.0,940569.0,729198.0
2021-09-14,139666.0,613010.0,100013.0,1320161.0,460229.0
2021-09-15,342969.0,671427.0,77019.0,4078030.0,489405.0
2021-09-16,191215.0,881690.0,60415.0,1231772.0,438508.0
2021-09-17,329997.0,1959427.0,292826.0,13148469.0,2725315.0
2021-09-20,290175.0,833546.0,81222.0,1642648.0,596352.0
2021-09-21,198045.0,768613.0,64665.0,980278.0,397287.0
2021-09-22,150654.0,774661.0,70295.0,485241.0,353224.0
2021-09-23,191268.0,1182730.0,81860.0,506799.0,320989.0
2021-09-24,107397.0,1116082.0,80542.0,633570.0,416726.0
2021-09-27,162080.0,1294070.0,150358.0,369021.0,388189.0
2021-09-28,166886.0,713863.0,156358.0,563244.0,310456.0
2021-09-29,158283.0,509559.0,70436.0,572505.0,312489.0
2021-09-30,332250.0,559422.0,132500.0,644495.0,558202.0
2021-10-01,249763.0,913154.0,165310.0,482154.0,409224.0
2021-10-04,232290.0,784895.0,136030.0,617637.0,454884.0
2021-10-05,226911.0,614610.0,118838.0,551405.0,298270.0
2021-10-06,212878.0,508519.0,141677.0,516594.0,356515.0
2021-10-07,147210.0,553388.0,44248.0,334316.0,310982.0
2021-10-08,237577.0,493395.0,38026.0,300781.0,360210.0
2021-10-11,220601.0,313917.0,89433.0,595110.0,411284.0
2021-10-12,193397.0,363422.0,41068.0,461280.0,367233.0
2021-10-13,268488.0,469846.0,100355.0,509391.0,334641.0
2021-10-14,273260.0,475200.0,107089.0,295132.0,512822.0
2021-10-15,257200.0,752884.0,83595.0,944710.0,484537.0
2021-10-18,256183.0,414435.0,102757.0,579540.0,874896.0
2021-10-19,1103296.0,586352.0,72179.0,316901.0,294029.0
2021-10-20,711119.0,841616.0,77756.0,268848.0,259299.0
2021-10-21,403386.0,690719.0,52024.0,190759.0,283298.0
2021-10-22,308478.0,513239.0,54231.0,327032.0,313260.0
2021-10-25,188033.0,375036.0,67069.0,678135.0,550946.0
2021-10-26,203270.0,461831.0,50187.0,475446.0,757330.0
2021-10-27,151197.0,408651.0,111130.0,616672.0,1040685.0
2021-10-28,136449.0,403199.0,292677.0,813193.0,548902.0
2021-10-29,236185.0,676647.0,253684.0,971839.0,646082.0
2021-11-01,235383.0,547567.0,189928.0,901005.0,541370.0
2021-11-02,253748.0,914936.0,157656.0,959344.0,839503.0
2021-11-03,166776.0,789143.0,241288.0,659129.0,969695.0
